,hungrybox,,plup,,armada,,leffen,,mew2king,,mango,,wizzrobe,,amsa,,zain,,axe,,sfat,,crush,,s2j,,lucky,,hugs,,swedish_delight,,pewpewu,,westballz,,n0ne,,duck,,llod,,absentpage,,ryan_ford,,kjh,,shroomed,,army,,la_luna,,syrox,,trif,,captain_smuckers,,colbol,,ibdw,,bananas,,ginger,,ice,,rishi,,mike_haze,,bladewise,,captain_faceroll,,junebug,,kalamazhu,,2saint,,slox,,gahtzu,,michael,,moky,,santiago,,professor_pro,,medz,,over_triforce,,chudat,,druggedfox,,dizzkidboogie,,kirby_kaze,,nintendude,,prince_abu,,amsah,,android,,hax,,kage,,macd,,laudandus,
hungrybox,,,16,5,1,5,7,2,4,1,4,1,4,2,1,1,5,2,3,0,3,0,2,0,2,0,,,1,0,3,0,1,0,1,0,3,0,2,1,1,0,1,0,3,0,4,0,2,0,3,0,2,0,,,,,,,7,0,,,2,0,1,0,,,,,,,1,0,1,0,,,2,0,2,0,1,0,13,3,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,1,0,,,,,,
plup,5,16,,,1,2,1,2,4,0,3,1,2,0,,,2,1,2,0,1,0,,,1,0,2,0,3,0,1,0,,,2,0,1,0,1,0,,,,,2,0,,,,,1,0,3,0,,,,,,,1,0,,,0,1,2,0,,,,,3,0,,,,,,,,,,,,,6,1,,,1,0,,,,,,,,,,,,,1,0,,,,,,,1,0,,,,,,,,,,
armada,5,1,2,1,,,2,6,3,3,2,1,,,2,0,3,0,2,0,1,0,,,2,0,2,0,3,0,0,1,1,0,,,2,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,1,0,,,,,,,2,0,,,,,,,1,0,,,,,2,0,,,,,,,,
leffen,2,7,2,1,6,2,,,1,1,2,2,,,1,0,1,0,2,1,2,0,,,2,0,,,1,0,,,,,3,1,1,0,2,0,,,,,,,1,0,1,0,,,1,0,1,0,0,1,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,1,0,1,0,,,,,1,0,,,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,
mew2king,1,4,0,4,3,3,1,1,,,1,0,3,1,2,1,2,0,0,1,3,0,1,0,1,0,0,1,1,0,,,1,0,1,0,,,,,,,,,4,0,,,1,0,,,,,,,,,,,1,0,1,0,,,,,1,0,0,1,1,0,,,,,,,,,,,2,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mango,1,4,1,3,1,2,2,2,0,1,,,4,0,1,0,0,3,1,0,3,0,,,,,,,,,1,0,,,,,1,0,2,0,,,1,0,,,,,,,0,1,1,0,1,0,,,,,,,1,0,,,1,0,,,1,0,,,,,,,,,0,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wizzrobe,2,4,0,2,,,,,1,3,0,4,,,2,1,3,0,1,0,2,1,1,0,1,2,,,1,0,1,0,,,1,3,4,4,1,0,3,0,2,0,2,0,1,0,,,1,0,1,0,,,1,0,,,1,1,,,,,1,0,,,1,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,,,1,0,,,,,,,1,0,,,,,,
amsa,1,1,,,0,2,0,1,1,2,0,1,1,2,,,,,1,2,2,3,1,0,,,3,0,1,2,2,0,1,0,,,1,0,1,1,,,1,0,,,,,,,,,1,0,,,,,,,0,1,,,,,,,1,0,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,1,0,,,,
zain,2,5,1,2,0,3,0,1,0,2,3,0,0,3,,,,,0,1,7,0,1,1,0,2,2,1,2,1,2,2,2,1,1,0,2,0,2,1,9,2,1,0,,,5,0,1,0,1,1,2,0,,,2,0,1,2,1,0,1,0,1,0,3,0,,,2,0,1,0,,,3,0,9,4,,,,,1,0,0,1,,,1,0,1,0,,,,,1,0,,,,,,,,,,,1,0,1,0,,,,,,,,,,
axe,0,3,0,2,0,2,1,2,1,0,0,1,0,1,2,1,1,0,,,1,1,1,0,2,0,1,0,,,0,1,2,0,,,2,0,1,0,,,2,0,,,,,1,0,0,1,3,0,,,,,,,0,1,,,,,0,1,,,,,,,1,0,1,0,,,,,,,,,,,1,0,,,,,,,3,2,,,,,,,,,,,0,1,,,,,1,0,,,,,,,,
sfat,0,3,0,1,0,1,0,2,0,3,0,3,1,2,3,2,0,7,1,1,,,0,1,10,4,5,3,3,0,2,0,0,1,3,3,,,1,0,1,1,1,0,3,0,1,0,3,0,8,4,2,0,0,1,1,0,0,1,,,,,,,,,,,3,0,1,0,1,0,6,0,,,0,1,,,,,0,1,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,
crush,0,2,,,,,,,0,1,,,0,1,0,1,1,1,0,1,1,0,,,,,2,0,,,0,1,1,1,,,,,,,,,2,2,,,4,3,,,,,1,0,0,1,,,1,1,,,4,0,,,,,,,3,0,,,,,1,0,,,,,,,2,0,,,1,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
s2j,0,2,0,1,0,2,0,2,0,1,,,2,1,,,2,0,0,2,4,10,,,,,3,9,,,0,1,3,0,2,2,,,2,0,3,3,1,2,,,1,0,1,0,14,3,1,0,1,0,3,0,,,,,1,0,0,1,,,2,0,1,0,1,0,2,0,4,2,,,1,0,1,0,,,0,1,0,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucky,,,0,2,0,2,,,1,0,,,,,0,3,1,2,0,1,3,5,0,2,9,3,,,5,2,1,0,0,2,3,7,1,2,,,0,1,1,0,0,1,1,1,1,0,13,15,,,2,0,,,,,,,1,0,0,1,2,0,,,,,5,3,1,0,4,3,1,0,0,1,0,1,,,0,1,,,1,0,0,1,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,
hugs,0,1,0,3,0,3,0,1,0,1,,,0,1,2,1,1,2,,,0,3,,,,,2,5,,,1,0,1,1,2,9,1,2,1,0,0,1,0,1,0,1,1,0,,,6,8,2,3,1,0,,,,,1,0,,,3,1,1,0,0,1,,,2,2,0,1,1,2,,,,,0,1,,,,,,,2,0,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,
swedish_delight,0,3,0,1,1,0,,,,,0,1,0,1,0,2,2,2,1,0,0,2,1,0,1,0,0,1,0,1,,,1,3,1,0,1,1,6,0,1,0,1,2,0,2,2,2,,,1,1,0,1,1,0,0,1,,,,,1,0,0,1,2,0,0,1,0,1,0,2,,,,,,,,,1,2,,,1,0,1,0,,,,,,,,,,,1,0,,,,,,,,,,,2,0,,,,,,,,,,
pewpewu,0,1,,,0,1,,,0,1,,,,,0,1,1,2,0,2,1,0,1,1,0,3,2,0,1,1,3,1,,,1,1,,,0,2,,,,,,,0,2,0,1,2,0,1,0,,,,,1,0,1,0,1,0,,,,,,,0,1,,,,,1,0,,,,,,,2,0,1,0,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
westballz,0,1,0,2,,,1,3,0,1,,,3,1,,,0,1,,,3,3,,,2,2,7,3,9,2,0,1,1,1,,,1,1,1,2,,,1,0,1,0,0,1,1,1,13,9,0,3,1,0,1,0,,,,,0,1,,,1,0,,,0,1,2,0,1,0,7,1,,,,,,,,,,,,,,,,,,,1,0,,,0,1,,,,,,,,,1,0,,,,,,,,,,,,
n0ne,0,3,0,1,0,2,0,1,,,0,1,4,4,0,1,0,2,0,2,,,,,,,2,1,2,1,1,1,,,1,1,,,0,2,,,,,4,1,1,0,1,1,0,2,1,2,1,1,,,,,0,1,,,1,1,,,,,1,0,1,0,1,0,,,,,,,2,0,,,1,0,2,1,1,0,,,,,,,1,0,,,,,,,,,1,0,1,0,,,1,0,,,,,,,,
duck,1,2,0,1,,,0,2,,,0,2,0,1,1,1,1,2,0,1,0,1,,,0,2,,,0,1,0,6,2,0,2,1,2,0,,,,,1,1,1,0,9,13,0,1,,,,,,,,,,,1,1,,,,,6,1,1,0,1,0,1,0,1,0,0,1,,,,,1,0,,,,,,,1,0,,,,,,,1,0,,,,,,,,,1,0,,,,,,,1,0,,,,,,
llod,0,1,,,,,,,,,,,0,3,0,1,2,9,,,1,1,,,3,3,1,0,1,0,0,1,,,,,,,,,,,0,1,,,1,2,1,1,1,0,1,1,1,0,,,,,2,1,1,1,,,1,1,,,0,1,,,1,0,2,0,22,14,,,2,0,1,1,,,,,,,2,0,,,2,0,,,1,0,,,,,,,,,,,,,,,0,1,,,,,1,0
absentpage,,,,,,,,,,,0,1,0,2,,,0,1,0,1,0,1,2,2,2,1,0,1,1,0,2,1,,,0,1,,,1,1,1,0,,,1,0,3,2,,,1,2,3,1,,,2,1,,,,,,,1,0,1,1,,,1,3,,,,,0,1,1,0,,,,,,,3,0,12,1,1,0,0,2,,,1,0,,,1,0,,,,,,,1,0,,,,,2,0,,,1,0,1,0,0,1
ryan ford,0,3,0,2,,,,,0,4,,,0,2,,,,,,,0,3,,,,,1,0,1,0,2,0,,,0,1,1,4,0,1,,,0,1,,,1,1,,,,,1,0,,,,,1,0,2,0,,,,,,,,,,,,,0,1,,,,,,,,,1,0,,,,,7,7,,,,,,,,,,,,,,,,,,,2,0,,,,,0,1,4,0,,,,
kjh,0,4,,,,,0,1,,,,,0,1,,,0,5,,,0,1,3,4,0,1,1,1,0,1,2,2,2,0,1,0,0,1,13,9,2,1,2,3,1,1,,,0,2,,,0,1,,,,,,,2,0,0,1,,,16,5,,,2,0,,,1,0,,,,,,,2,0,2,1,,,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,
shroomed,0,2,,,,,0,1,0,1,,,,,,,0,1,0,1,0,3,,,0,1,0,1,,,,,1,0,1,1,1,1,1,0,1,1,,,,,2,0,,,0,1,0,1,0,1,,,,,,,0,1,,,,,,,,,0,1,1,0,,,,,4,0,,,1,0,,,,,1,0,,,,,,,,,1,0,,,1,0,,,,,,,,,,,1,0,1,0,,,,
army,0,3,0,1,0,1,,,,,1,0,0,1,,,1,1,1,0,4,8,,,3,14,15,13,8,6,1,1,0,2,9,13,2,0,,,0,1,2,1,,,,,1,0,,,,,,,,,,,1,0,,,,,,,1,0,1,0,7,5,0,1,18,5,,,,,,,,,4,1,0,1,,,,,,,,,1,0,0,1,,,0,2,,,,,1,0,,,1,0,,,,,0,1,,
la luna,0,2,0,3,0,1,0,1,,,0,1,0,1,0,1,0,2,0,3,0,2,0,1,0,1,,,3,2,1,0,0,1,3,0,2,1,,,1,1,1,3,0,1,1,0,1,0,,,,,,,,,2,0,,,3,4,1,0,1,0,,,1,1,1,0,1,0,0,1,0,1,0,2,1,0,1,0,,,,,1,0,,,,,1,2,0,1,1,0,,,,,,,,,,,,,,,2,0,,,,,,
syrox,,,,,,,0,1,,,0,1,,,,,,,,,1,0,1,0,0,1,0,2,0,1,0,1,,,0,1,1,1,,,0,1,,,,,,,1,0,,,,,,,,,0,1,,,,,,,1,0,,,1,0,,,,,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trif,,,,,,,1,0,,,,,0,1,,,0,2,,,0,1,,,0,3,,,,,1,0,,,0,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,0,,,,,0,2,,,,,,,,,1,0,,,,,0,1,1,0,,,,,,,5,3,,,6,2,,,,,1,0,,,,,,,,,,,4,0,,,,,,
captain_smuckers,,,,,,,,,,,,,,,,,2,1,,,1,0,1,1,,,,,,,,,0,1,,,,,,,,,,,0,1,,,,,,,0,2,1,0,,,,,0,1,2,1,,,,,,,3,5,,,,,,,,,,,5,4,3,5,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,5,4,,,,,,
